ts,open,high,low,close,volume
2013-02-18 00:00:00+00:00,1518.17,1521.64,1518.0500000000002,1521.04,0
2013-02-19 00:00:00+00:00,1520.17,1531.295,1517.5500000000002,1531.22,0
2013-02-20 00:00:00+00:00,1530.9699999999998,1532.1,1508.3600000000001,1509.56,0
2013-02-21 00:00:00+00:00,1509.57,1511.49,1497.13,1503.86,0
2013-02-22 00:00:00+00:00,1504.26,1516.85,1503.8899999999999,1515.85,0
2013-02-25 00:00:00+00:00,1516.85,1526.23,1483.37,1487.07,0
2013-02-26 00:00:00+00:00,1487.12,1499.29,1484.54,1494.49,0
2013-02-27 00:00:00+00:00,1494.54,1520.42,1491.42,1517.72,0
2013-02-28 00:00:00+00:00,1517.4699999999998,1525.6,1509.94,1513.74,0
2013-03-01 00:00:00+00:00,1513.69,1520.28,1501.07,1517.88,0
2013-03-04 00:00:00+00:00,1516.13,1528.85,1508.51,1528.3,0
2013-03-05 00:00:00+00:00,1528.1,1543.98,1525.98,1540.16,0
2013-03-06 00:00:00+00:00,1539.9099999999999,1545.5900000000001,1537.99,1540.76,0
2013-03-07 00:00:00+00:00,1540.51,1546.06,1538.3899999999999,1544.82,0
2013-03-08 00:00:00+00:00,1543.3200000000002,1553.4499999999998,1540.9499999999998,1550.93,0
2013-03-10 00:00:00+00:00,1548.1799999999998,1549.31,1547.56,1548.31,0
2013-03-11 00:00:00+00:00,1548.06,1557.0900000000001,1546.06,1555.4699999999998,0
2013-03-12 00:00:00+00:00,1555.2199999999998,1556.68,1547.93,1551.9099999999999,0
2013-03-13 00:00:00+00:00,1552.1599999999999,1556.5,1547.66,1555.38,0
2013-03-14 00:00:00+00:00,1555.13,1562.83,1554.38,1561.33,0
2013-03-15 00:00:00+00:00,1561.58,1564.33,1554.83,1559.04,0
2013-03-17 00:00:00+00:00,1544.42,1547.67,1543.04,1543.67,0
2013-03-18 00:00:00+00:00,1543.42,1558.98,1535.92,1554.1999999999998,0
2013-03-19 00:00:00+00:00,1553.9499999999998,1557.6999999999998,1538.45,1544.0900000000001,0
2013-03-20 00:00:00+00:00,1544.3400000000001,1561.89,1543.0900000000001,1556.1100000000001,0
2013-03-21 00:00:00+00:00,1555.8600000000001,1556.8600000000001,1543.13,1544.38,0
2013-03-22 00:00:00+00:00,1544.63,1560.675,1541.63,1560.6,0
2013-03-24 00:00:00+00:00,1556.23,1558.98,1556.23,1558.23,0
2013-03-25 00:00:00+00:00,1558.48,1566.98,1545.98,1554.71,0
2013-03-26 00:00:00+00:00,1554.58,1564.7800000000002,1553.96,1564.7800000000002,0
2013-03-27 00:00:00+00:00,1564.65,1566.2800000000002,1551.78,1562.27,0
2013-03-28 00:00:00+00:00,1562.02,1570.27,1555.77,1569.8,0
2013-04-01 00:00:00+00:00,1568.4299999999998,1570.68,1558.43,1562.29,0
2013-04-02 00:00:00+00:00,1562.04,1573.67,1560.17,1571.51,0
2013-04-03 00:00:00+00:00,1571.26,1573.3899999999999,1549.54,1554.61,0
2013-04-04 00:00:00+00:00,1553.81,1562.69,1551.19,1560.05,0
2013-04-05 00:00:00+00:00,1560.0500000000002,1560.4299999999998,1538.63,1552.09,0
2013-04-08 00:00:00+00:00,1550.7199999999998,1567.8400000000001,1548.22,1565.69,0
2013-04-09 00:00:00+00:00,1565.9650000000001,1573.97,1560.72,1568.49,0
2013-04-10 00:00:00+00:00,1568.49,1589.71,1566.12,1589.71,0
2013-04-11 00:00:00+00:00,1588.26,1597.64,1585.6399999999999,1593.03,0
2013-04-12 00:00:00+00:00,1592.98,1594.3600000000001,1579.61,1586.48,0
2013-04-15 00:00:00+00:00,1587.1100000000001,1587.6100000000001,1543.5500000000002,1547.3,0
2013-04-16 00:00:00+00:00,1547.3000000000002,1575.38,1547.0500000000002,1574.15,0
2013-04-17 00:00:00+00:00,1574.5,1574.5,1543.23,1550.05,0
2013-04-18 00:00:00+00:00,1550.04,1558.4299999999998,1535.93,1542.23,0
2013-04-19 00:00:00+00:00,1541.73,1555.63,1540.3600000000001,1553.72,0
2013-04-22 00:00:00+00:00,1553.6,1565.73,1547.6,1562.75,0
2013-04-23 00:00:00+00:00,1562.475,1581.15,1553.73,1580.05,0
2013-04-24 00:00:00+00:00,1578.4,1583.7800000000002,1575.78,1578.45,0
2013-04-25 00:00:00+00:00,1577.9499999999998,1592.73,1575.58,1585.78,0
2013-04-26 00:00:00+00:00,1586.0300000000002,1586.9099999999999,1577.16,1581.0,0
2013-04-29 00:00:00+00:00,1581.13,1596.73,1578.38,1593.85,0
2013-04-30 00:00:00+00:00,1593.1,1598.92,1585.98,1598.42,0
2013-05-01 00:00:00+00:00,1598.42,1600.0500000000002,1580.93,1583.55,0
2013-05-02 00:00:00+00:00,1584.0500000000002,1598.93,1583.6799999999998,1597.12,0
2013-05-03 00:00:00+00:00,1596.87,1618.75,1594.25,1613.25,0
2013-05-06 00:00:00+00:00,1613.38,1619.83,1611.88,1617.61,0
2013-05-07 00:00:00+00:00,1617.1100000000001,1626.13,1613.99,1625.04,0
2013-05-08 00:00:00+00:00,1624.29,1633.03,1620.92,1631.89,0
2013-05-09 00:00:00+00:00,1631.3899999999999,1635.17,1622.92,1629.27,0
2013-05-10 00:00:00+00:00,1629.02,1633.9,1623.4,1632.36,0
2013-05-13 00:00:00+00:00,1628.49,1636.18,1624.49,1633.4,0
